latitude,longitude,altitude,geometry
55.775069,37.464499,,Point
55.71306,37.740381,,Point
55.71306,37.740381,,Point
55.71306,37.740381,,Point
55.71306,37.740381,,Point
55.71306,37.740381,,Point
55.712127,37.739555,,Point
55.712127,37.739555,,Point
55.712127,37.739555,,Point
55.712127,37.739555,,Point
55.712127,37.739555,,Point
55.712127,37.739555,,Point
55.712127,37.739555,,Point
55.712127,37.739555,,Point
55.712127,37.739555,,Point
55.5656,37.34267,,Point
55.667731,37.774014,,Point
55.643043,37.61662,,Point
55.667731,37.774014,,Point
55.667731,37.774014,,Point
55.667731,37.774014,,Point
55.82312,37.881758,,Point
55.871597,37.511293,,Point
55.841544,37.530984,,Point
55.841544,37.530984,,Point
55.841544,37.530984,,Point
55.841544,37.530984,,Point
55.841544,37.530984,,Point
55.841544,37.530984,,Point
55.841544,37.530984,,Point
55.841544,37.530984,,Point
55.841544,37.530984,,Point
55.841544,37.530984,,Point
55.719906,37.42845,,Point
55.567153,37.587281,,Point
55.567153,37.587281,,Point
55.567153,37.587281,,Point
55.690537,37.577705,,Point
55.805882,37.844747,,Point
55.861706,37.614815,,Point
55.861706,37.614815,,Point
